name,state,population,latitude,longitude
Falfurrias,Texas,5349,27.2269026886,-98.1448985207
Beeville,Texas,13004,28.405978006,-97.7508398862
Fort Stockton,Texas,7721,30.8916919139,-102.884996787
Pecos,Texas,8372,31.4157942902,-103.499894655
Dumas,Texas,13629,35.8623962596,-101.966887453
Denton,Texas,176930,33.2157619416,-97.128836509
Midland,Texas,98501,32.0307179962,-102.097499636
Temple,Texas,61161,31.102092508,-97.3630082619
New Haven,Connecticut,846766,41.3303829133,-72.9000053321
Lowell,Massachusetts,723629,42.6336883739,-71.3166911231
Worcester,Massachusetts,287365,42.2704288931,-71.8000207943
Manchester,New Hampshire,196566,42.9959918407,-71.4552873145
Newport,Rhode Island,45968,41.4903989859,-71.3133579932
Dothan,Alabama,61741,31.2234546092,-85.3905865903
Tuscaloosa,Alabama,121373,33.2251153758,-87.5441760678
Gadsden,Alabama,41709,34.0145503937,-86.0066471779
Enterprise,Alabama,24205,31.3278151642,-85.8439956072
Selma,Alabama,20126,32.4075683787,-87.0211588966
Coral Gables,Florida,150000,25.7154187205,-80.2910787371
Cape Coral,Florida,132489,26.6029097687,-81.9796836769
Naples,Florida,262306,26.1420593455,-81.7949921079
Fort Pierce,Florida,228245,27.446785908,-80.3258052996
Kissimmee,Florida,225494,28.292057311,-81.4077806007
Titusville,Florida,52311,28.6123478383,-80.8077913836
St. Augustine,Florida,76331,29.8948793732,-81.3147113461
Ocala,Florida,141382,29.1873515005,-82.1402681902
Fort Lauderdale,Florida,2042042,26.1360648794,-80.1417855242
Apalachicola,Florida,2284,29.7256132192,-84.9925230324
Vero Beach,Florida,86039,27.6422520131,-80.39112431
Valdosta,Georgia,61179,30.8328582957,-83.2785966407
Albany,Georgia,88766,31.5787300812,-84.1558299171
Athens,Georgia,110301,33.9612978302,-83.3780220965
Macon,Georgia,115592,32.850383727,-83.6300480568
Columbus,Georgia,217980,32.4704327586,-84.9800173357
Douglas,Georgia,13441,31.5077783397,-82.8506899432
Dublin,Georgia,22623,32.5374570913,-82.9182827166
Gulfport,Mississippi,82165,30.3675636994,-89.0927637143
Hattiesburg,Mississippi,58874,31.3272725617,-89.2902452003
Tupelo,Mississippi,35956,34.2579205516,-88.7033301206
Greenville,Mississippi,38107,33.4103753856,-91.0616874611
Natchez,Mississippi,23863,31.554803893,-91.3875073667
Florence,South Carolina,57438,34.1956762889,-79.7627905698
Greenville,South Carolina,350954,34.852922993,-82.3941545021
Sumter,South Carolina,50868,33.9206543162,-80.3417216407
Anderson,South Carolina,61558,34.50374534,-82.6502629005
Aiken,South Carolina,46196,33.5494625031,-81.7206038836
Beaufort,South Carolina,31626,32.4321663605,-80.6895040301
Rock Hill,South Carolina,94564,34.9403853546,-81.0300000424
Decatur,Illinois,77868,39.8407063996,-88.9547359637
Alton,Illinois,84276,38.8909969269,-90.1842216408
Quincy,Illinois,47108,39.9359719025,-91.4097282326
Urbana,Illinois,144074,40.1099922883,-88.2041874611
Bloomington,Illinois,128979,40.4845947459,-88.9935966408
Kankakee,Illinois,69608,41.1203698924,-87.8611076271
Waukegan,Illinois,200000,42.3640407502,-87.8447261981
Aurora,Illinois,350000,41.7653951203,-88.2999955665
Carbondale,Illinois,32444,37.7268302603,-89.2202494728
Belleville,Illinois,143900,38.5251536245,-90.0002277036
Bloomington,Indiana,100310,39.1656571646,-86.5264087339
Muncie,Indiana,85449,40.193759785,-85.3863749611
Kokomo,Indiana,61121,40.4867651561,-86.1336420102
Gary,Indiana,591180,41.5803934927,-87.3300030942
Fort Wayne,Indiana,299871,41.0803981721,-85.1299823422
Covington,Kentucky,585489,39.0840084015,-84.5085990822
Bowling Green,Kentucky,71140,36.9906994823,-86.4436489275
Paducah,Kentucky,41317,37.0837170604,-88.6000030942
Owensboro,Kentucky,67825,37.7745792837,-87.1133238136
Jacksonville,North Carolina,77288,34.7543243602,-77.4305556658
Goldsboro,North Carolina,47602,35.3851385692,-77.9930536313
Greenville,North Carolina,92565,35.6128766063,-77.3666835955
Fayetteville,North Carolina,243306,35.0629360138,-78.883593589
Hickory,North Carolina,89462,35.7334893992,-81.3414022234
Asheville,North Carolina,142755,35.6011977326,-82.5541447364
Winston-Salem,North Carolina,281683,36.1054305207,-80.2599953631
Kitty Hawk,North Carolina,3413,36.0773185415,-75.7047178565
Akron,Ohio,703200,41.0703987824,-81.5199959734
Lima,Ohio,68364,40.7428735545,-84.1052645281
Oak Ridge,Tennessee,33556,36.0106559438,-84.2697247739
Murfreesboro,Tennessee,115774,35.8459631541,-86.390267173
Clarksville,Tennessee,132536,36.530081603,-87.3594328224
Jackson,Tennessee,63196,35.6148661489,-88.8138918475
Alexandria,Virginia,127273,38.8204327586,-77.0999815284
Fredericksburg,Virginia,133134,38.3035134064,-77.4607863787
Roanoke,Virginia,198171,37.2711991567,-79.9416168637
Danville,Virginia,45894,36.5862538849,-79.3953194597
Winchester,Virginia,53941,39.1787313019,-78.1666347674
Bristol,Virginia,37443,36.6115236603,-82.1760024431
Superior,Wisconsin,27580,46.7212424917,-92.1038977476
West Bend,Wisconsin,34530,43.4257072134,-88.1833360206
Fond du Lac,Wisconsin,54299,43.7734379263,-88.4469116636
Oshkosh,Wisconsin,72698,44.0251021516,-88.5425130633
Rhinelander,Wisconsin,11483,45.639913146,-89.4120723895
Racine,Wisconsin,131654,42.7277136424,-87.8118341489
Marinette,Wisconsin,27169,45.1003853547,-87.6304757098
Wheeling,West Virginia,52492,40.0643103221,-80.7210783302
Morgantown,West Virginia,58808,39.6298148794,-79.9560604265
Huntington,West Virginia,85396,38.4195786733,-82.4452883318
Beckley,West Virginia,37836,37.7801861766,-81.1830139584
Wilmington,Delaware,161560,39.7462677196,-75.5468980323
Cumberland,Maryland,21316,39.6531726268,-78.7627740903
Atlantic City,New Jersey,76573,39.3646372671,-74.4233232032
Newark,New Jersey,280123,40.7004213654,-74.1700053321
Schenectady,New York,149255,42.8145817251,-73.9399676938
Binghamton,New York,139895,42.0990181672,-75.9183223894
Utica,New York,105150,43.1011792186,-75.233067059
Watertown,New York,33821,43.9751568797,-75.9110618507
Niagara Falls,New York,153134,43.0948230174,-79.0369434018
Jamestown,New York,45756,42.0973645213,-79.2355359311
Elmira,New York,62376,42.0901298208,-76.8080355242
York,Pennsylvania,218010,39.962921162,-76.728040407
Johnstown,Pennsylvania,69286,40.3270849803,-78.9222217221
Scranton,Pennsylvania,156196,41.4092928254,-75.6626790789
State College,Pennsylvania,87926,40.7937231639,-77.8602452003
Erie,Pennsylvania,178182,42.1299206737,-80.0849931251
Wilkes Barre,Pennsylvania,158913,41.2490442088,-75.8779372576
Bar Harbor,Maine,6090,44.3878965445,-68.2043746355
Lewiston,Maine,57688,44.100704772,-70.2152596453
